Nutrition,Source,3,8,13,18,30,50,51
Energy (Calories),---,1000,1400,1800,2200,2400,2200,2000
Protein (g),RDA,13,19,34,52,56,56,56
"Fiber, total dietary (g)",---,14,19.6,25.2,30.8,33.6,30.8,28
"Folate, DFE (mcg)",RDA,150,200,300,400,400,400,400
"Calcium, Ca (mg)",RDA,700,1000,1300,1300,1000,1000,1000
"Carbohydrate, by difference (g)",RDA,130,130,130,130,130,130,130
"Iron, Fe (mg)",RDA,7,10,8,11,8,8,8
"Magnesium, Mg (mg)",RDA,80,130,240,410,400,420,420
Niacin (mg),RDA,6,8,12,16,16,16,16
"Phosphorus, P (mg)",RDA,460,500,1250,1250,700,700,700
"Potassium, K (mg)",AI,3000,3800,4500,4700,4700,4700,4700
Riboflavin (mg),RDA,0.5,0.6,0.9,1.3,1.3,1.3,1.3
Thiamin (mg),RDA,0.5,0.6,0.9,1.2,1.2,1.2,1.2
"Vitamin A, RAE (mcg)",RDA,300,400,600,900,900,900,900
Vitamin B-12 (mcg),RDA,0.9,1.2,1.8,2.4,2.4,2.4,2.4
Vitamin B-6 (mg),RDA,0.5,0.6,1,1.3,1.3,1.3,1.7
Vitamin C (mg),RDA,15,25,45,75,90,90,90
Vitamin E (mg),RDA,6,7,11,15,15,15,15
Vitamin K (mcg),AI,30,55,60,75,120,120,120
"Zinc, Zn (mg)",RDA,3,5,8,11,11,11,11
