FDC ID,Regimen,Food (Berkeley Bowl),FDC Food Name,Quantity,Units,Price
1662976,Bulk,White Jasmine Rice,JASMINE RICE,1,lb,3.29
2471862,Bulk,Milton's Multi-Grain Bread,"Bread, multi-grain (includes whole-grain)",24,oz,6.29
2473414,Bulk,Dave's English Muffins,"English muffins, whole grain white",13.2,oz,7.69
718108,Bulk,Rxbar Protein Bar,"Formulated Bar, SOUTH BEACH protein bar",1.83,oz,2.59
2127166,Bulk,Vega Sport Protein Powder,"Protein supplement, milk based, Muscle Milk, powder",1.5,oz,3.99
2341256,Bulk,Angus Beef Brisket,"Beef, brisket",1,lb,9.89
2341313,Bulk,Ground Lamb,"Lamb, ground, raw",1,lb,10.99
2398177,Bulk,Chicken and Apple Sausage,"CHICKEN & APPLE SAUSAGE, CHICKEN & APPLE",7,oz,7.69
2346401,Bulk,Organic Large Russet Potatoes,"Potatoes, russet, without skin, raw",1,lb,2.19
174286,Bulk,Pinto Beans (Canned),"Beans, pinto, canned, drained solids",15,oz,1.89
2106470,Bulk,Pavel's Plain Yogurt,"PLAIN ORIGINAL YOGURT, PLAIN",32,oz,4.49
167536,Bulk,Krave Beef Jerky,"Snacks, beef jerky, chopped and formed",2.7,oz,8.09
174036,Bulk,USA Ground Beef,"Beef, ground, 80% lean meat / 20% fat, raw",1,lb,6.09
169091,Bulk,Organic Dried Mango (packaged),"Mango, dried, sweetened",0.75,lb,15.39
168191,Bulk,Organic Dates,"Dates, medjool",0.5,lb,10.99
1105314,Bulk,Organic Bananas,"Bananas, ripe and slightly ripe, raw",1,lb,1.39
746785,Cut,Ground Turkey,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",16,oz,7.69
2094328,Cut,Tofu,TOFU,14,oz,2.19
2468422,Cut,Impossible Burger Plant-Based,"Veggie burger patty, no bun",12,oz,9.89
2341159,Cut,low fat cottage cheese,"Cheese, cottage, low fat",16,oz,3.89
173439,Cut,low fat cheese,"Cheese, low fat, cheddar or colby",8,oz,6.59
747997,Cut,Egg whites,"Eggs, Grade A, Large, egg white",16,oz,4.39
2342982,Cut,Mixed nuts,"Nuts, mixed nuts, dry roasted, with peanuts, without salt added",1,lb,13.79
170154,Cut,Sunflower seeds,"Seeds, sunflower seed kernels, dried",1,lb,3.09
2342893,Cut,Garbonzo Beans,"Chickpeas, from canned, no added fat",15,oz,2.49
173741,Cut,Kidney Beans,"Beans, kidney, all types, mature seeds, canned",15.25,oz,1.89
168875,Cut,Brown rice,"Rice, brown, medium-grain, cooked (Includes foods for USDA's Food Distribution Program)",1,lb,1.59
168917,Cut,Tricolor Quinoa,"Quinoa, cooked",1,lb,4.79
169986,Cut,Cauliflower,"Cauliflower, raw",1,lb,3.89
2341362,Cut & Bulk,Chicken Breast,"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",1,lb,7.19
748967,Cut & Bulk,Cage Free Eggs,"Eggs, Grade A, Large, egg whole",24,oz,4.79
2341272,Cut & Bulk,Pork Chop,"Pork, chop, lean and fat eaten",1,lb,8.79
173688,Cut & Bulk,Salmon,"Fish, salmon, chinook, raw",4,oz,10.99
2343945,Cut & Bulk,Berkeley Bowl Granola,"Cereal, granola",12,oz,8.79
1999632,Cut & Bulk,Baby Spinach,"Spinach, baby",10,oz,2.49
748608,Cut & Bulk,Olive oil,"Oil, olive, extra virgin",250,ml,8.29
171706,Cut & Bulk,Avocado,"Avocados, raw, California",5.3,oz,0.89
170379,Cut & Bulk,Organic Bunched Broccoli,"Broccoli, raw",1.5,lb,2.19
2346404,Cut & Bulk,Sweet potatoes,"Sweet potatoes, orange flesh, without skin, raw",1,lb,2.79
172972,Cut & Bulk,Oatmeal,"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry",16,oz,4.99
168107,Cut & Bulk,Rice cakes,"Rice cake, cracker (include hain mini rice cakes)",5,oz,4.89
1750343,Cut & Bulk,Honeycrisp apples,"Apples, honeycrisp, with skin, raw",1,lb,3.29
2346411,Cut & Bulk,Blueberries,"Blueberries, raw",473.2,ml,5.29
168389,Cut & Bulk,Asparagus,"Asparagus, raw",1,lb,3.69
170383,Cut & Bulk,Brussel Sprouts,"Brussels sprouts, raw",1,lb,1.79
1999629,Cut & Bulk,Mushrooms,"Mushrooms, white button",1,lb,4.89
1999634,Cut & Bulk,Roma tomatoes,"Tomato, roma",1,lb,1.49
